0, 0, 3.69186, 3.23114, 8.32763
0, 0.25, 3.76302, 3.08936, 8.19426
0, 0.5, 3.67501, 2.81781, 8.31728
0, 0.75, 3.66655, 2.61249, 8.31338
0, 1, 3.58386, 2.35922, 8.43973
0, 1.25, 3.57466, 2.15932, 8.43625
0, 1.5, 3.49793, 1.92328, 8.56458
0, 1.75, 3.44478, 1.70725, 8.65158
0, 2, 3.39526, 1.49859, 8.73945
0, 2.25, 4.00184, 1.5493, 7.73663
0, 2.5, 4.05999, 1.35165, 7.655
0, 2.75, 4.03904, 1.12564, 7.67672
0, 3, 4.03314, 0.905284, 7.67519
0, 3.25, 3.93715, 0.670233, 7.79313
0, 3.5, 3.99654, 0.463615, 7.71215
0, 3.75, 3.85764, 0.238306, 7.88964
0, 4, 3.96282, 0.0299053, 7.75074
0, 4.25, 3.96331, -0.185016, 7.75143
0, 4.5, 4.02643, -0.406311, 7.67259
0, 4.75, 4.0299, -0.625197, 7.67285
0, 5, 4.00151, -0.83779, 7.71362
0, 5.25, 3.92757, -1.0353, 7.81178
0, 5.5, 3.96313, -1.25959, 7.77353
0, 5.75, 3.87941, -1.44335, 7.89671
0, 6, 3.4154, -1.45593, 8.69357
0, 6.25, 3.46697, -1.66592, 8.60579
0, 6.5, 3.42748, -1.83282, 8.69916
0, 6.75, 3.48006, -2.04965, 8.61159
0, 7, 3.50942, -2.25725, 8.5717
0, 7.25, 3.63772, -2.53705, 8.35576
0, 7.5, 3.67151, -2.75972, 8.31678
0, 7.75, 3.70609, -2.98668, 8.27856
0, 8, 3.79573, -3.26476, 8.15597
0.25, 0, 3.58215, 3.31489, 8.1516
0.25, 0.25, 3.47399, 3.0156, 8.31663
0.25, 0.5, 3.39347, 2.75113, 8.44309
0.25, 0.75, 3.31881, 2.5003, 8.56992
0.25, 1, 3.28951, 2.28962, 8.61107
0.25, 1.25, 3.25963, 2.08192, 8.6528
0.25, 1.5, 3.21105, 1.86678, 8.73915
0.25, 1.75, 3.66958, 1.92294, 7.89719
0.25, 2, 3.74632, 1.74835, 7.77277
0.25, 2.25, 3.78442, 1.54914, 7.71368
0.25, 2.5, 3.64853, 1.28431, 7.88918
0.25, 2.75, 3.77193, 1.11147, 7.71029
0.25, 3, 3.76834, 0.894347, 7.70744
0.25, 3.25, 3.8868, 0.699598, 7.55053
0.25, 3.5, 3.73129, 0.457663, 7.74598
0.25, 3.75, 3.79025, 0.247569, 7.66545
0.25, 4, 3.81982, 0.030479, 7.62538
0.25, 4.25, 3.75868, -0.185524, 7.70538
0.25, 4.5, 3.79138, -0.404529, 7.66586
0.25, 4.75, 3.82436, -0.62733, 7.62744
0.25, 5, 3.73628, -0.827112, 7.74759
0.25, 5.25, 3.80019, -1.05916, 7.66986
0.25, 5.5, 3.74603, -1.25885, 7.75116
0.25, 5.75, 3.6806, -1.4479, 7.85004
0.25, 6, 3.84979, -1.7352, 7.63715
0.25, 6.25, 3.63895, -1.84882, 7.93791
0.25, 6.5, 3.23121, -1.82694, 8.69295
0.25, 6.75, 3.25759, -2.02863, 8.65131
0.25, 7, 3.30787, -2.24961, 8.56548
0.25, 7.25, 3.33894, -2.46219, 8.52491
0.25, 7.5, 3.36801, -2.67674, 8.4854
0.25, 7.75, 3.51948, -2.99892, 8.23053
0.25, 8, 3.52855, -3.20897, 8.23485
0.5, 0, 3.27393, 3.21394, 8.31643
0.5, 0.25, 3.17708, 2.92562, 8.48547
0.5, 0.5, 3.14644, 2.70602, 8.52515
0.5, 0.75, 3.1187, 2.49246, 8.56504
0.5, 1, 3.00181, 2.21646, 8.80579
0.5, 1.25, 3.43484, 2.32727, 7.93993
0.5, 1.5, 3.47985, 2.1461, 7.85389
0.5, 1.75, 3.53783, 1.96666, 7.75394
0.5, 2, 3.5593, 1.76211, 7.71024
0.5, 2.25, 3.55091, 1.54196, 7.70809
0.5, 2.5, 3.60158, 1.3449, 7.62676
0.5, 2.75, 3.51152, 1.09768, 7.74397
0.5, 3, 3.56228, 0.896866, 7.66225
0.5, 3.25, 3.53189, 0.674386, 7.70037
0.5, 3.5, 3.55575, 0.46266, 7.65969
0.5, 3.75, 3.49983, 0.242504, 7.73857
0.5, 4, 3.47216, 0.0293901, 7.77858
0.5, 4.25, 3.49931, -0.183228, 7.73868
0.5, 4.5, 3.55496, -0.402376, 7.65964
0.5, 4.75, 3.52984, -0.614237, 7.7006
0.5, 5, 3.4799, -0.817215, 7.78138
