0, 0, 3.08785, 2.7025, 9.65592
0, 0.25, 3.76869, 3.09401, 8.19028
0, 0.5, 3.67393, 2.81698, 8.31804
0, 0.75, 3.66655, 2.61249, 8.31338
0, 1, 3.58386, 2.35922, 8.43973
0, 1.25, 3.57466, 2.15932, 8.43625
0, 1.5, 3.49793, 1.92328, 8.56458
0, 1.75, 3.44478, 1.70725, 8.65158
0, 2, 3.39526, 1.49859, 8.73945
0, 2.25, 3.33695, 1.29189, 8.84728
0, 2.5, 3.36503, 1.12028, 8.77986
0, 2.75, 3.32822, 0.927542, 8.84393
0, 3, 3.33469, 0.748509, 8.82225
0, 3.25, 3.33178, 0.567179, 8.82118
0, 3.5, 3.35236, 0.388887, 8.77452
0, 3.75, 3.34939, 0.206909, 8.77422
0, 4, 3.36984, 0.0254304, 8.72851
0, 4.25, 3.37041, -0.157339, 8.72918
0, 4.5, 3.35128, -0.338181, 8.77472
0, 4.75, 3.35378, -0.520305, 8.77524
0, 5, 3.32513, -0.696177, 8.84167
0, 5.25, 3.30653, -0.871594, 8.889
0, 5.5, 3.38485, -1.07579, 8.73391
0, 5.75, 3.3473, -1.24538, 8.82701
0, 6, 3.4154, -1.45593, 8.69357
0, 6.25, 3.46697, -1.66592, 8.60579
0, 6.5, 3.42748, -1.83282, 8.69916
0, 6.75, 3.48006, -2.04965, 8.61159
0, 7, 3.50942, -2.25725, 8.5717
0, 7.25, 3.63772, -2.53705, 8.35576
0, 7.5, 3.67151, -2.75972, 8.31678
0, 7.75, 3.76447, -3.03373, 8.19191
0, 8, 4.02637, -3.46314, 7.87364
0.25, 0, 3.58923, 3.32143, 8.14746
0.25, 0.25, 3.47399, 3.0156, 8.31663
0.25, 0.5, 3.4164, 2.76972, 8.3989
0.25, 0.75, 3.31881, 2.5003, 8.56992
0.25, 1, 3.28951, 2.28962, 8.61107
0.25, 1.25, 3.25963, 2.08192, 8.6528
0.25, 1.5, 3.21105, 1.86678, 8.73915
0.25, 1.75, 3.17594, 1.66427, 8.8004
0.25, 2, 3.19987, 1.49333, 8.7327
0.25, 2.25, 3.15304, 1.29068, 8.82204
0.25, 2.5, 3.0824, 1.08503, 8.97819
0.25, 2.75, 3.12473, 0.920763, 8.86449
0.25, 3, 4.07382, 0.966847, 7.39493
0.25, 3.25, 3.95601, 0.712056, 7.4816
0.25, 3.5, 3.95394, 0.484973, 7.48062
0.25, 3.75, 3.88205, 0.253565, 7.54892
0.25, 4, 3.81994, 0.0304799, 7.62532
0.25, 4.25, 3.88164, -0.191594, 7.54828
0.25, 4.5, 3.88368, -0.414377, 7.54849
0.25, 4.75, 3.91887, -0.642832, 7.51356
0.25, 5, 4.03371, -0.892956, 7.42004
0.25, 5.25, 3.11471, -0.868105, 8.88375
0.25, 5.5, 3.10862, -1.04465, 8.91177
0.25, 5.75, 3.15177, -1.23987, 8.82136
0.25, 6, 3.15712, -1.423, 8.82422
0.25, 6.25, 3.18275, -1.61704, 8.78075
0.25, 6.5, 3.23121, -1.82694, 8.69295
0.25, 6.75, 3.25759, -2.02863, 8.65131
0.25, 7, 3.30787, -2.24961, 8.56548
0.25, 7.25, 3.33894, -2.46219, 8.52491
0.25, 7.5, 3.36801, -2.67674, 8.4854
0.25, 7.75, 3.47011, -2.95685, 8.31578
0.25, 8, 3.53204, -3.21215, 8.233
0.5, 0, 3.27393, 3.21394, 8.31643
0.5, 0.25, 3.17708, 2.92562, 8.48547
0.5, 0.5, 3.14644, 2.70602, 8.52515
0.5, 0.75, 3.1187, 2.49246, 8.56504
0.5, 1, 3.00181, 2.21646, 8.80579
0.5, 1.25, 2.95777, 2.00403, 8.89363
0.5, 1.5, 3.01736, 1.86088, 8.73318
0.5, 1.75, 2.96264, 1.64692, 8.84148
0.5, 2, 2.92192, 1.44656, 8.9303
0.5, 2.25, 3.84021, 1.66759, 7.39435
0.5, 2.5, 3.66195, 1.36744, 7.54882
0.5, 2.75, 3.59573, 1.124, 7.62463
0.5, 3, 3.53558, 0.890145, 7.70119
0.5, 3.25, 3.53189, 0.674386, 7.70037
0.5, 3.5, 3.55575, 0.46266, 7.65969
0.5, 3.75, 3.49983, 0.242504, 7.73857
0.5, 4, 3.47216, 0.0293901, 7.77858
0.5, 4.25, 3.49931, -0.183228, 7.73868
0.5, 4.5, 3.55496, -0.402376, 7.65964
0.5, 4.75, 3.52984, -0.614237, 7.7006
0.5, 5, 3.53327, -0.829748, 7.70187
0.5, 5.25, 3.56587, -1.0543, 7.6639
0.5, 5.5, 3.66013, -1.3048, 7.54759
0.5, 5.75, 3.76554, -1.57142, 7.4506
0.5, 6, 2.92788, -1.39994, 8.91079
