4.5, 0, -2.58026, 3.8226, 5.19636
4.5, 0.25, -2.57406, 3.57508, 5.14129
4.5, 0.5, -2.5992, 3.36933, 5.08678
4.5, 0.75, -2.62673, 3.16181, 5.03326
4.5, 1, -2.72693, 3.02992, 4.8777
4.5, 1.25, -2.67142, 2.72089, 4.92572
4.5, 1.5, -2.691, 2.49167, 4.92369
4.5, 1.75, -2.69948, 2.24957, 4.87026
4.5, 2, -2.77939, 2.05881, 4.81823
4.5, 2.25, -2.71929, 1.76251, 4.86676
4.5, 2.5, -2.74672, 1.52596, 4.82865
4.5, 2.75, -2.79319, 1.29314, 4.81347
4.5, 3, -2.78425, 1.0312, 4.81254
4.5, 3.25, -2.76772, 0.768812, 4.81111
4.5, 3.5, -2.21009, 0.409276, 6.17204
4.5, 3.75, -2.23527, 0.20697, 6.16427
4.5, 4, -2.23033, 2.73137e-16, 6.12444
4.5, 4.25, -2.23527, -0.20697, 6.16427
4.5, 4.5, -2.21009, -0.409276, 6.17204
4.5, 4.75, -2.76772, -0.768812, 4.81111
4.5, 5, -2.78425, -1.0312, 4.81254
4.5, 5.25, -2.79319, -1.29314, 4.81347
4.5, 5.5, -2.74672, -1.52596, 4.82865
4.5, 5.75, -2.71929, -1.76251, 4.86676
4.5, 6, -2.77939, -2.05881, 4.81823
4.5, 6.25, -2.69948, -2.24957, 4.87026
4.5, 6.5, -2.691, -2.49167, 4.92369
4.5, 6.75, -2.67142, -2.72089, 4.92572
4.5, 7, -2.72693, -3.02992, 4.8777
4.5, 7.25, -2.62673, -3.16181, 5.03326
4.5, 7.5, -2.5992, -3.36933, 5.08678
4.5, 7.75, -2.57406, -3.57508, 5.14129
4.5, 8, -2.58026, -3.8226, 5.19636
4.75, 0, -2.78746, 3.77961, 5.35366
4.75, 0.25, -2.80488, 3.56553, 5.19484
4.75, 0.5, -2.82628, 3.35321, 5.19261
4.75, 0.75, -2.86144, 3.15243, 5.13879
4.75, 1, -2.9094, 2.95871, 5.08527
4.75, 1.25, -2.882, 2.68661, 5.08221
4.75, 1.5, -2.94511, 2.49586, 4.97808
4.75, 1.75, -2.9548, 2.25366, 4.97619
4.75, 2, -2.9257, 1.98352, 4.9735
4.75, 2.25, -3.0208, 1.792, 4.92185
4.75, 2.5, -2.99876, 1.52479, 4.91967
4.75, 2.75, -3.01746, 1.27859, 4.91887
4.75, 3, -3.01098, 1.02067, 4.91747
4.75, 3.25, -3.06714, 0.779782, 4.88019
4.75, 3.5, -2.31218, 0.391895, 6.44265
4.75, 3.75, -2.33402, 0.197799, 6.43505
4.75, 4, -2.3415, 2.86751e-16, 6.43259
4.75, 4.25, -2.33402, -0.197799, 6.43505
4.75, 4.5, -2.31218, -0.391895, 6.44265
4.75, 4.75, -3.06714, -0.779782, 4.88019
4.75, 5, -3.01098, -1.02067, 4.91747
4.75, 5.25, -3.01746, -1.27859, 4.91887
4.75, 5.5, -2.99876, -1.52479, 4.91967
4.75, 5.75, -3.0208, -1.792, 4.92185
4.75, 6, -2.9257, -1.98352, 4.9735
4.75, 6.25, -2.9548, -2.25366, 4.97619
4.75, 6.5, -2.94511, -2.49586, 4.97808
4.75, 6.75, -2.882, -2.68661, 5.08221
4.75, 7, -2.9094, -2.95871, 5.08527
4.75, 7.25, -2.86144, -3.15243, 5.13879
4.75, 7.5, -2.82628, -3.35321, 5.19261
4.75, 7.75, -2.80488, -3.56553, 5.19484
4.75, 8, -2.78746, -3.77961, 5.35366
5, 0, -3.0022, 3.75275, 5.45969
5, 0.25, -3.0315, 3.55254, 5.35304
5, 0.5, -3.06771, 3.35531, 5.29893
5, 0.75, -3.07683, 3.1249, 5.19261
